reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
11d315e6-3a14-4749-baa4-1fd06961a2c7,Prakhar,https://play-lh.googleusercontent.com/a-/ACB-R5R_zi60D4qzPXVzAtEck9nXZdc9faazo70RcG9rsA,Just need a feature of upi and other things are very good.,1,0,3.1.6,2023-04-24 04:59:54,"Hey , UPI tranfer feature is live now on Akudo app. If you have any other suggestions or query , do reach to us at talktous@akudo.in .",2023-04-24 23:15:10
584ce60e-fa59-4daf-9604-6c8e3a382669,Ravisharma,https://play-lh.googleusercontent.com/a-/ACB-R5TYo44PP0OkeFHQ12aV5KPuSim_TLqZQM-Lndr3PQ,Akudo app for UPI ID I am not satisfied to pay the fee of Rs 199 actually this app is very poor quality service provider,1,0,3.1.6,2023-04-24 01:08:11,"Hey, The min kyc product is still free of cost! With a small one time fee(like bank account opening fees) you can upgrade to a full account.You get UPI(P2M & P2P),ATM withdrawals,₹2L monthly limit,better rewards -opened instantly from the comfort of your home. Do try it out for a more premium and seamless experience compared to other free services",2023-04-24 23:14:32
236f4610-b94c-4002-83e3-a0fb1212129f,GYANI GAMERS;,https://play-lh.googleusercontent.com/a-/ACB-R5Tr7ibrZs0e72hJ8ywduB39tZzFA6v2KRzIkkmMcA,Akudo is in losses. So they are begging everyone to donate them 199rs in the name of UPI. Govt of India needs to take some action on this kind of insane rubbish apps who are charging premium for issuing UPI. Say NO to Akudo.,1,1,,2023-04-23 23:20:13,"Hello , we are currently waiting for RBI and NPCI guidelines for UPI. However it is taking longer than expected. If you have any other suggestions or query , do reach to us at talktous@akudo.in , alternatively you can reach out to us over Whatsapp on +91 8310260574 or call us on +91 8047186397",2022-01-16 11:30:59
934d749c-b29f-4401-b9da-3798b213117b,AYAN RZA,https://play-lh.googleusercontent.com/a-/ACB-R5TwvHAAK5TP_Z0JokmwTtvd-EUpL5a6F6XwPsMH,Fampay is free go,1,0,,2023-04-23 13:45:17,"Hey, The min kyc product is still free of cost! With a small one time fee(like bank account opening fees) you can upgrade to a full account.You get UPI(P2M & P2P),ATM withdrawals,₹2L monthly limit,better rewards -opened instantly from the comfort of your home. Do try it out for a more premium and seamless experience compared to other free services",2023-04-23 16:04:43
6639c589-6558-4b77-9332-1b3c4c862fd3,Drâstîç,https://play-lh.googleusercontent.com/a-/ACB-R5QdxhLXRQAVOcOUaI83rKI-9lvqC_hS9pgBISB4,I can't withdraw money money from akudo without paying 199 They are thief . I add 50 rupee from other UPI . These were my father rupee . I lost my 50 rupee.,1,0,3.1.6,2023-04-23 12:21:40,"Hey, The min kyc product is still free of cost! With a small one time fee(like bank account opening fees) you can upgrade to a full account.You get UPI(P2M & P2P),ATM withdrawals,₹2L monthly limit,better rewards -opened instantly from the comfort of your home. Do try it out for a more premium and seamless experience compared to other free services.",2023-04-23 16:04:33
c713d647-2935-479e-9ae9-054aeb942292,Abhishek Nagtilak,https://play-lh.googleusercontent.com/a/AGNmyxYIU8qVA_mmmFHrUVAtrg5YXgzlqjefR8rZHYAy=mo,This app wants more Document,1,0,3.1.6,2023-04-23 08:20:48,"Hello , We are sorry for this experience ,Please let us know the issue you are facing . We request you to reach to us at talktous@akudo.in , alternatively you can reach out to us over the in app chat or call us on +91 8047186397.",2023-04-23 16:04:12
080859db-9826-4c9a-957e-1add394963d9,Sai Gunjal Vlogs,https://play-lh.googleusercontent.com/a-/ACB-R5RtWVtzFE-r8N0TN1ZC2FNVUtso3M7CRp9E9OWA,"This app is not of use ,the bank doesnt accept the payment request ,hence forth i wont use the app😡😡😡 its time waste plz look into the problem",1,0,3.1.6,2023-04-22 19:14:17,"Hi , we are sorry for this experience. Request you to kindly send us an email at talktous@akudo.in with the subject line ""Issue with my transactions"". Please do share your registered mobile number in the email for us to check and resolve your query. Alternatively, you can contact us via in app chat or call us on +91 8047186397.",2023-04-22 23:06:43
6084759d-c7fe-4567-93f3-769cbc80609d,Alok Pal,https://play-lh.googleusercontent.com/a/AGNmyxaskud9S9phG1mLLifewGrZOEhCVIVeTxPqJ97R=mo,Very bad 😞😔 really not good . don't use this app . I have wasted Rs 199.,1,0,3.1.4,2023-04-22 14:10:36,"Hey, The min kyc product is still free of cost! With a small one time fee(like bank account opening fees) you can upgrade to a full account.You get UPI(P2M & P2P),ATM withdrawals,₹2L monthly limit,better rewards -opened instantly from the comfort of your home. Do try it out for a more premium and seamless experience compared to other free services.",2023-04-22 23:05:24
e03e89fe-3c15-4d76-9416-d4d070a742e1,Saksham Thakur,https://play-lh.googleusercontent.com/a-/ACB-R5Rj5L2RkhIZ8VhTtyqUyeNwMEECjIAXoDnN3W5n,This is scam can't use this app Use fampay app as compare this,1,0,3.1.4,2023-04-22 14:10:34,"Hello , We are sorry for this experience ,Please let us know the issue you are facing . We request you to reach to us at talktous@akudo.in , alternatively you can reach out to us over the in app chat or call us on +91 8047186397.",2023-04-22 23:06:00
75d922b8-f5ec-4456-b7c2-162ab54c9de6,Ankit kushwaha,https://play-lh.googleusercontent.com/a-/ACB-R5T-UJy8-_Of_nfd930agV-rH0hubO4ax-AIx4WO4XU,Thats app is build for only and only self benefit and other other customer has a only loss I don't recommend to install the app thankyou,1,0,3.1.6,2023-04-22 13:04:44,"Hello , We are sorry for this experience ,Please let us know the issue you are facing . We request you to reach to us at talktous@akudo.in , alternatively you can reach out to us over the in app chat or call us on +91 8047186397.",2022-12-21 23:10:24
